page,country,rev_id,FIPS,Name,Type,TimeFrame,Data (M),Population,_merge
Julius Gregr,Czech Republic,395521877.0,,,,,,,left_only
Edvard Gregr,Czech Republic,395526568.0,,,,,,,left_only
Miroslav Poche,Czech Republic,672862914.0,,,,,,,left_only
Vojtěch Mynář,Czech Republic,673008587.0,,,,,,,left_only
Jan Malypetr,Czech Republic,704424304.0,,,,,,,left_only
Emanuel Moravec,Czech Republic,705080136.0,,,,,,,left_only
Vladimír Hučín,Czech Republic,707597623.0,,,,,,,left_only
Pavla Topolánková,Czech Republic,709676840.0,,,,,,,left_only
Josef Barák,Czech Republic,711675761.0,,,,,,,left_only
Antonín Švehla,Czech Republic,712426548.0,,,,,,,left_only
Jakob Marzel Sternberger,Czech Republic,713698544.0,,,,,,,left_only
Alois Anderka,Czech Republic,714174726.0,,,,,,,left_only
Ivan Dejmal,Czech Republic,715467197.0,,,,,,,left_only
Franz Macoun,Czech Republic,715640391.0,,,,,,,left_only
Karel Urbánek,Czech Republic,716711851.0,,,,,,,left_only
Vladimír Klokočka,Czech Republic,717429365.0,,,,,,,left_only
Jaromír Jermář,Czech Republic,720027362.0,,,,,,,left_only
Artur London,Czech Republic,721736524.0,,,,,,,left_only
František Sláma (politician),Czech Republic,722937211.0,,,,,,,left_only
Jan Kubice,Czech Republic,723151837.0,,,,,,,left_only
Kamil Jankovský,Czech Republic,723207013.0,,,,,,,left_only
Václav Vacek,Czech Republic,724691268.0,,,,,,,left_only
Čestmír Císař,Czech Republic,725362978.0,,,,,,,left_only
Luca Rovinalti,Czech Republic,726666131.0,,,,,,,left_only
Kamil Krofta,Czech Republic,726762194.0,,,,,,,left_only
Milan Štěch,Czech Republic,728506208.0,,,,,,,left_only
Antonín Janoušek,Czech Republic,729912438.0,,,,,,,left_only
Bedřich Geminder,Czech Republic,730146355.0,,,,,,,left_only
Karel Domin,Czech Republic,735174171.0,,,,,,,left_only
Hubert Ripka,Czech Republic,737562321.0,,,,,,,left_only
Tomáš Eduard Šilinger,Czech Republic,741588720.0,,,,,,,left_only
Petr Janyška,Czech Republic,741798984.0,,,,,,,left_only
Jana Juřenčáková,Czech Republic,743423675.0,,,,,,,left_only
Jaromír Nečas,Czech Republic,744448745.0,,,,,,,left_only
Siegfried Taub,Czech Republic,744612257.0,,,,,,,left_only
Záviš Kalandra,Czech Republic,746707985.0,,,,,,,left_only
Alois Rašín,Czech Republic,749575931.0,,,,,,,left_only
Bedřich Reicin,Czech Republic,749945936.0,,,,,,,left_only
Bernd Richter,Czech Republic,751718674.0,,,,,,,left_only
Kamil Kalina,Czech Republic,753045804.0,,,,,,,left_only
Richard Sacher,Czech Republic,755428089.0,,,,,,,left_only
Václav Fischer,Czech Republic,756317863.0,,,,,,,left_only
Božena Viková-Kunětická,Czech Republic,757336278.0,,,,,,,left_only
Mikuláš of Hus,Czech Republic,758942647.0,,,,,,,left_only
Gertruda Sekaninová-Čakrtová,Czech Republic,759446334.0,,,,,,,left_only
Petr Mlsna,Czech Republic,765838180.0,,,,,,,left_only
Antonín Cyril Stojan,Czech Republic,768047769.0,,,,,,,left_only
František Kubka,Czech Republic,768676716.0,,,,,,,left_only
Josef Pfitzner,Czech Republic,773853256.0,,,,,,,left_only
Vladimír Franz,Czech Republic,774595725.0,,,,,,,left_only
Jan Stocklassa,Czech Republic,776095794.0,,,,,,,left_only
Jaroslav Krejčí,Czech Republic,776197284.0,,,,,,,left_only
Libuše Benešová,Czech Republic,776338134.0,,,,,,,left_only
Daniela Filipiová,Czech Republic,776338195.0,,,,,,,left_only
Moses Porges von Portheim,Czech Republic,776487173.0,,,,,,,left_only
Jan Kasl,Czech Republic,776508129.0,,,,,,,left_only
Jiří Kittner,Czech Republic,776509425.0,,,,,,,left_only
Miloslav Vlček,Czech Republic,776513404.0,,,,,,,left_only
